Name,Info,Playstyle,Playstyle+
Slide Tackle,A player who is known for often performing slide tackles.,Grants the ability to stop the ball directly at their feet when performing a slide tackle.,Greatly improved slide tackle coverage. Also grants the ability to stop the ball directly at their feet when performing a slide tackle.
Aerial Fortress,A defensive player who is known for dominating aerial battles in defensive situations.,Performs higher jumps and has increased physical presence before and during defensive aerial duels.,Performs even higher jumps and has greatly increased physical presence before and during defensive aerial duels.
Technical,A player who regularly tries to beat an opponent by using technical dribbling ability (with little to no use of skill moves or little to no physical contact).,Reaches a higher speed when performing Controlled Sprint and performs wide turns while dribbling with more precision.,Reaches even higher speed when performing Controlled Sprint and performs wide turns while dribbling with greater precision.
Rapid,A player who is known to use speed and knock the ball ahead of their opponent to beat them whilst dribbling.,Reaches a higher sprint speed while dribbling and has reduced chance of an error when sprinting or performing knock-ons.,Reaches even higher sprint speed while dribbling and has greatly reduced chance of an error when sprinting or performing knock-ons.
First Touch,A player who is known for accurate first touch control in difficult situations.,Has reduced error when trapping the ball and is able to transition to dribbling faster with greater control.,Has minimal error when trapping the ball and is able to transition to dribbling much faster with greater control.
Trickster,A player who is known for being able to perform skill moves in 1v1 situations.,Grants the ability to perform unique flick Skill Moves.,Grants the ability to perform more unique ground and flick Skill Moves. Is significantly more agile when strafe dribbling.
Press Proven,A player who is known for keeping ball possession under physical pressure from the opponent.,Keeps close control of the ball while dribbling at jog speed and can shield the ball more effectively from stronger opponents.,Keeps exceptionally close control of the ball while dribbling at jog speed. Can shield the ball much more effectively from stronger opponents.
Quick Step,A player who is known to have a quick burst of speed when accelerating on and off the ball.,Accelerates faster during Explosive Sprint.,Accelerates significantly faster during Explosive Sprint.
Relentless,A player who is known for covering a greater area of the field compared to other players in the same position.,Reduces fatigue loss during play and increases fatigue recovery during halftime.,"Greatly reduces the long-term fatigue effects on attributes, reaction time, and defensive awareness. Reduces fatigue loss during play and significantly increases fatigue recovery during halftime."
Long Throw,A player who is known to throw the ball further than the average player.,Performs throw-ins with increased power to cover a greater distance.,Performs throw-ins with more power to cover maximum distance.
Bruiser,A player who is known for winning possession by physical imposition.,Greater strength when performing physical tackles.,Even greater strength when performing physical tackles.
Enforcer,A physical attacker who is known for controlling the ball through shielding and initiating contact while dribbling.,Performs dribble Shoulder Challenges and Shielding with increased effectiveness.,Performs dribble Shoulder Challenges and Shielding with greatly increased effectiveness.
